N Cities,Time,Length,Initial Ta,Alpha

5,0.0009002685546875,1916,10,0.99

5,0.002975940704345703,1916,10,0.75

5,0.0050199031829833984,1916,10,0.5

5,0.0034589767456054688,1916,10,0.25

5,0.0011408329010009766,2455,10,0.1

5,0.001096963882446289,2811,10,0.05

6,0.004431247711181641,2890,10,0.99

6,0.0010008811950683594,2612,10,0.75

6,0.00047969818115234375,2840,10,0.5

6,0.0039081573486328125,3192,10,0.25

6,0.006413459777832031,3192,10,0.1

6,0.0009968280792236328,3607,10,0.05

7,0.01055288314819336,2250,10,0.99

7,0.00371551513671875,2017,10,0.75

7,0.0010993480682373047,2942,10,0.5

7,0.006050825119018555,3575,10,0.25

7,0.0045013427734375,2442,10,0.1

7,0.00485539436340332,2941,10,0.05

15,0.012642383575439453,4224,10,0.99

15,0.006438016891479492,6105,10,0.75

15,0.005988597869873047,6051,10,0.5

15,0.005583763122558594,6845,10,0.25

15,0.006448030471801758,6310,10,0.1

15,0.0009980201721191406,7050,10,0.05

20,0.0034651756286621094,4822,10,0.99

20,0.0018961429595947266,6736,10,0.75

20,0.005448579788208008,6242,10,0.5

20,0.005088090896606445,9492,10,0.25

20,0.0029320716857910156,9400,10,0.1

20,0.0012831687927246094,5403,10,0.05

30,0.010155677795410156,9290,10,0.99

30,0.006203889846801758,11295,10,0.75

30,0.00753021240234375,14290,10,0.5

30,0.005631446838378906,16668,10,0.25

30,0.0030164718627929688,13061,10,0.1

30,0.0024051666259765625,13521,10,0.05

50,0.05071115493774414,16143,10,0.99

50,0.010908365249633789,21287,10,0.75

50,0.010541439056396484,22643,10,0.5

50,0.010586738586425781,26987,10,0.25

50,0.005777835845947266,22211,10,0.1

50,0.004291534423828125,24067,10,0.05

75,0.12113070487976074,30747,10,0.99

75,0.0303189754486084,33499,10,0.75

75,0.0420994758605957,32769,10,0.5

75,0.03434157371520996,37661,10,0.25

75,0.019008159637451172,33802,10,0.1

75,0.017253875732421875,36607,10,0.05

100,0.2745387554168701,39438,10,0.99

100,0.09424734115600586,50575,10,0.75

100,0.06540060043334961,50690,10,0.5

100,0.02767801284790039,48115,10,0.25

100,0.030694246292114258,48612,10,0.1

100,0.024370431900024414,53952,10,0.05

150,0.7945022583007812,68306,10,0.99

150,0.17114520072937012,68661,10,0.75
150,0.13840436935424805,69560,10,0.5
150,0.16697287559509277,67661,10,0.25
150,0.0728912353515625,69271,10,0.1
150,0.0635373592376709,73921,10,0.05
