N Cities,Time,Length,Initial Ta,Stop criteria

75,1.1395483016967773,13041,10,0.05

75,1.2266061305999756,13588,10,0.05

75,1.3988556861877441,13719,10,0.05

75,1.2404077053070068,14536,10,0.05

75,1.6264715194702148,15161,10,0.05

75,2.052521228790283,13838,20,0.05

75,1.9731602668762207,14685,20,0.05

75,1.938161849975586,14370,20,0.05

75,1.4904253482818604,15392,20,0.05

75,1.6949148178100586,15285,20,0.05

75,1.8322970867156982,13890,50,0.05
75,1.5958809852600098,13885,50,0.05
75,1.694211483001709,13712,50,0.05
75,1.7210330963134766,16198,50,0.05
75,1.4940223693847656,13069,50,0.05
75,1.7986364364624023,13812,100,0.05
75,1.6459376811981201,14121,100,0.05
75,1.732771396636963,14689,100,0.05
75,2.04999041557312,13745,100,0.05
75,1.7892580032348633,13321,100,0.05
75,1.8705825805664062,13402,150,0.05
75,1.8502604961395264,13586,150,0.05
75,1.9540510177612305,14974,150,0.05
75,1.9034440517425537,12407,150,0.05
75,1.7403271198272705,13722,150,0.05
