N Cities,Time,Length,Iterations
5,0.0,1916,1

6,0.0009999275207519531,2492,1

7,0.0,2017,1

10,0.0,2623,1

15,0.0,2500,1

20,0.00102996826171875,2637,1

30,0.050275564193725586,4338,1

50,0.2979557514190674,6091,1

75,1.0967481136322021,7359,1

100,3.1294965744018555,8952,1

150,17.075465440750122,10397,1

5,0.0,1916,10

6,0.0010411739349365234,2456,10

7,0.008025407791137695,2017,10

15,0.042745113372802734,2161,10

20,0.08508753776550293,2210,10

30,0.3251166343688965,3216,10

50,1.7195954322814941,5586,10

75,8.68468976020813,7101,10

100,27.494351863861084,9099,10

150,142.50147342681885,11651,10

5,0.016070842742919922,1916,100

6,0.016123533248901367,2456,100

7,0.02580571174621582,2017,100

15,0.20496606826782227,1822,100

20,0.542680025100708,1861,100

30,2.3614883422851562,2905,100

50,17.33350133895874,5009,100

75,86.98753905296326,6132,100

100,277.33833956718445,8284,100

150,1453.2150373458862,10785,100

