N Cities,Time,Length

5,0.0,1916

5,0.0,1916

5,0.0,1916

5,0.0,1916

5,0.0009970664978027344,1916

6,0.0009999275207519531,2492

6,0.0,2492

6,0.0,2456

6,0.0,2456

6,0.0,2890

7,0.0,2017

7,0.0,2245

7,0.0,2017

7,0.0,2017

7,0.0,2017

10,0.0,2623

10,0.0,2953

10,0.0,3010

10,0.0,2817

10,0.0,2623

15,0.0,2500

15,0.0,2821

15,0.008625507354736328,2719

15,0.0,2797

15,0.0,2873

15,0.0,2822

15,0.00996088981628418,2317

15,0.0,2924

15,0.009324073791503906,2114

15,0.0,2764

20,0.00102996826171875,2637

20,0.0078125,3288

20,0.017128705978393555,3135

20,0.006778240203857422,2338

20,0.011033296585083008,2996

20,0.004628658294677734,2847

20,0.012672901153564453,2652

20,0.0030210018157958984,2610

20,0.01513981819152832,2097

20,0.013700485229492188,2965

30,0.050275564193725586,4338

30,0.056580305099487305,4767

30,0.10920119285583496,3346

30,0.03839373588562012,4274

30,0.0468289852142334,4267

30,0.08048319816589355,4352

30,0.037558794021606445,4594

30,0.0395967960357666,4193

30,0.04292654991149902,4489

30,0.0585629940032959,3688

50,0.34780073165893555,6308

50,0.2979557514190674,6091

50,0.2566795349121094,6610

50,0.20885372161865234,6254

50,0.20225787162780762,6596

50,0.2025589942932129,5939

50,0.17119812965393066,6701

50,0.21140146255493164,6187

50,0.2583448886871338,6202

50,0.20063304901123047,6090

75,1.0967481136322021,7359

75,1.0543849468231201,7857

75,0.9945948123931885,7780

75,1.0885488986968994,7817

75,1.0322554111480713,8737

75,1.0356156826019287,7931

75,0.807549238204956,7909

75,1.3099374771118164,7371

75,1.2094848155975342,7141

75,0.9720256328582764,8313

100,2.815363883972168,10280

100,3.1294965744018555,8952

100,3.156198501586914,9417

100,3.9082584381103516,8191

100,3.790137529373169,10200

100,2.8869621753692627,9565

100,2.894690990447998,9072

100,3.577300786972046,10260

100,3.254317045211792,9993

100,3.168407917022705,9613

150,17.075465440750122,10397
150,15.38419222831726,12543
150,12.954495668411255,12981
150,14.828404903411865,11446
150,14.756168603897095,11759
150,14.427138090133667,13168
150,15.133573532104492,11660
150,14.539451837539673,12108
150,16.5277361869812,11708
150,14.87819504737854,12652
